,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
626,Palauig,PH,81.07,light rain,15.44,119.9,Myhousebythesea
630,Harper,LR,78.53,overcast clouds,4.38,-7.72,Screensaver
635,Manokwari,ID,79.92,broken clouds,-0.87,134.08,Swiss Belhotel Manokwari
637,Paita,PE,77.0,scattered clouds,-5.09,-81.11,Hotel Náutico de Paita
639,Nacala,MZ,77.7,clear sky,-14.54,40.67,Nacala Plaza Business Design Hotel
640,Saint-Georges,GD,82.4,scattered clouds,12.06,-61.75,Siesta Hotel
643,San Carlos,VE,82.58,overcast clouds,9.66,-68.58,Hotel Paternopoli
644,San Policarpo,PH,80.67,overcast clouds,12.18,125.51,JM Lodge
649,Malpe,IN,77.0,scattered clouds,13.35,74.72,Hotel Sri Krishna Residency
654,Kununurra,AU,84.2,broken clouds,-15.77,128.73,Hotel Kununurra
655,Gemena,CD,76.78,clear sky,3.25,19.77,Hôtel Goshen
656,Maun,BW,87.8,clear sky,-19.98,23.42,Enviro Villa
662,Porto Novo,BJ,82.4,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
677,Cantanhede,BR,83.46,overcast clouds,-3.63,-44.38,HOTEL FE EM DEUS
679,Vargem Grande,BR,84.45,overcast clouds,-3.54,-43.92,Chácara São Luis
