,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Kavaratti,IN,10.57,72.64,82.0,73,29,9.53,scattered clouds
84,Coquimbo,CL,-29.95,-71.34,62.6,72,0,12.75,clear sky
85,Ponta Do Sol,PT,32.67,-17.1,59.0,58,40,11.41,scattered clouds
86,Port Alfred,ZA,-33.59,26.89,63.28,84,23,9.1,few clouds
87,Morden,CA,49.19,-98.1,42.8,48,31,3.36,scattered clouds
88,Eyl,SO,7.98,49.82,75.42,78,0,14.0,clear sky
89,Ryotsu,JP,38.08,138.43,42.8,81,75,11.41,broken clouds
90,Port Hardy,CA,50.7,-127.42,44.6,81,90,6.93,overcast clouds
91,Ilo,PE,-17.64,-71.34,66.49,79,93,3.13,moderate rain
92,Atar,MR,20.52,-13.05,65.86,39,100,8.01,overcast clouds
93,Lexington Park,US,38.27,-76.45,57.2,50,1,6.93,clear sky
94,Buraydah,SA,26.33,43.98,60.8,93,40,3.36,scattered clouds
95,New Norfolk,AU,-42.78,147.06,60.01,62,100,1.01,overcast clouds
96,Port Elizabeth,ZA,-33.92,25.57,62.6,93,75,4.7,broken clouds
97,Pervomayskoye,RU,43.92,46.71,49.82,74,57,18.25,broken clouds
98,Tuktoyaktuk,CA,69.45,-133.04,6.8,84,90,10.29,light snow
99,Kyabram,AU,-36.32,145.05,72.0,46,12,1.99,few clouds
100,Plastun,RU,44.76,136.29,11.46,87,0,6.26,clear sky
101,Erzin,TR,36.96,36.2,54.0,64,54,10.0,broken clouds
102,Saint-Augustin,CA,51.23,-58.65,31.78,98,97,6.85,light snow
103,Koslan,RU,63.46,48.9,12.9,96,2,3.8,clear sky
104,Ormara,PK,25.21,64.64,72.72,54,0,5.73,clear sky
105,Provideniya,RU,64.38,-173.3,16.29,90,91,9.31,overcast clouds
106,Vila,PT,42.03,-8.16,52.0,82,95,4.0,overcast clouds
107,Iqaluit,CA,63.75,-68.51,10.4,78,90,11.41,light snow
108,Oliveira Dos Brejinhos,BR,-12.32,-42.9,70.81,70,86,5.26,overcast clouds
109,Bara,NG,10.37,10.73,74.37,21,0,9.1,clear sky
110,Pallisa,UG,1.15,33.71,65.62,92,86,2.8,light rain
111,Blagoyevo,RU,63.37,47.92,13.37,96,1,4.03,clear sky
112,Mayo,US,38.89,-76.51,55.4,47,1,6.93,clear sky
113,Broken Hill,AU,-31.95,141.43,66.2,63,75,20.8,broken clouds
114,Zhangjiakou,CN,40.81,114.88,17.01,88,28,5.01,scattered clouds
115,Kruisfontein,ZA,-34.0,24.73,61.0,93,53,6.22,broken clouds
116,Mahebourg,MU,-20.41,57.7,75.2,83,75,8.05,broken clouds
117,Cranbourne,AU,-38.1,145.28,62.01,81,84,13.44,light rain
118,Vardo,NO,70.37,31.11,36.48,84,100,33.2,overcast clouds
119,Chuy,UY,-33.7,-53.46,70.38,94,79,10.54,heavy intensity rain
120,Skegness,GB,53.14,0.34,46.99,90,54,1.99,broken clouds
121,Dzierzoniow,PL,50.73,16.65,35.01,47,78,5.95,broken clouds
122,Zhongshu,CN,24.52,103.77,42.82,84,87,1.5,overcast clouds
123,Lewisporte,CA,49.25,-55.05,35.6,100,90,4.7,light intensity drizzle
124,Rabaul,PG,-4.2,152.17,83.7,68,73,2.26,broken clouds
125,Mantua,IT,45.17,10.78,44.01,97,99,1.99,overcast clouds
126,Biak,ID,-0.91,122.88,80.11,72,79,2.17,light rain
127,Sancti Spiritus,CU,21.93,-79.44,71.58,85,35,7.85,scattered clouds
