,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
363,Fujinomiya,JP,35.22,138.62,45.0,56,20,8.05,few clouds
364,Kahului,US,20.89,-156.47,80.6,61,40,16.11,light rain
365,Zakharovo,RU,54.37,39.28,36.0,100,100,9.75,moderate rain
366,Dalnerechensk,RU,45.93,133.72,2.1,92,0,7.72,clear sky
367,Katsuura,JP,35.13,140.3,50.0,52,75,5.82,light rain
368,Gamba,GA,-2.65,10.0,75.76,86,100,1.48,overcast clouds
369,Atikokan,CA,48.76,-91.62,28.78,98,55,2.53,broken clouds
370,Mogadishu,SO,2.04,45.34,79.63,72,0,14.09,clear sky
371,Matara,LK,5.95,80.54,75.2,88,97,3.02,overcast clouds
372,Buchanan,LR,5.88,-10.05,77.0,94,75,4.61,broken clouds
373,Atakpame,TG,7.53,1.13,76.51,79,78,2.15,broken clouds
374,Rosarito,MX,32.33,-117.03,73.4,13,5,11.41,clear sky
375,San Cristobal,VE,7.77,-72.22,77.0,94,75,10.29,moderate rain
376,Berlevag,NO,70.86,29.09,33.91,90,100,30.4,overcast clouds
377,Tarakan,ID,3.3,117.63,78.73,83,100,5.84,light rain
378,Broome,US,42.25,-75.83,36.0,64,40,9.17,scattered clouds
379,Yar-Sale,RU,66.83,70.83,6.12,93,89,10.54,overcast clouds
380,Ninghai,CN,29.29,121.42,51.01,99,100,1.01,overcast clouds
381,Tilichiki,RU,60.47,166.1,2.91,91,10,10.74,clear sky
382,Tibati,CM,6.47,12.63,71.26,34,100,3.53,overcast clouds
383,Luanda,AO,-8.84,13.23,75.2,94,75,5.82,light intensity drizzle
384,Kroya,ID,-7.63,109.25,64.99,90,100,9.71,light rain
385,Manono,CD,-7.3,27.42,68.77,94,85,1.25,overcast clouds
386,Rawson,AR,-43.3,-65.1,52.14,79,93,11.01,light rain
387,Alyangula,AU,-13.85,136.42,82.4,83,82,4.7,broken clouds
388,Vicuna,CL,-30.03,-70.71,62.6,72,0,12.75,clear sky
389,Pacific Grove,US,36.62,-121.92,64.99,38,1,5.82,clear sky
390,Kirakira,SB,-10.45,161.92,86.41,63,13,5.17,light rain
391,Verkhnevilyuysk,RU,63.45,120.32,-7.74,91,74,5.79,broken clouds
392,Narsaq,GL,60.92,-46.05,33.8,74,100,8.05,light snow
393,Poum,NC,-20.23,164.02,76.84,71,1,11.68,clear sky
394,Flinders,AU,-34.58,150.86,95.0,41,100,10.0,overcast clouds
395,Samarai,PG,-10.62,150.67,81.93,76,56,6.89,broken clouds
396,Aras,ES,42.56,-2.36,51.01,87,0,4.7,clear sky
397,Tete,MZ,-16.16,33.59,86.0,58,0,8.05,clear sky
398,Pangnirtung,CA,66.15,-65.71,16.39,83,100,3.74,overcast clouds
399,Lichinga,MZ,-13.31,35.24,65.26,72,12,5.08,few clouds
400,Makakilo City,US,21.35,-158.09,82.4,42,1,5.82,clear sky
401,Yeppoon,AU,-23.13,150.73,82.4,51,75,8.05,broken clouds
402,Ketchikan,US,55.34,-131.65,39.2,100,90,28.86,moderate rain
403,Butembo,CD,0.15,29.28,58.66,100,100,1.39,moderate rain
404,Mana,GF,5.66,-53.78,78.93,87,53,7.65,moderate rain
405,Isla Mujeres,MX,21.23,-86.73,82.4,65,40,10.29,scattered clouds
406,Gorgan,IR,36.84,54.43,44.6,93,75,1.74,broken clouds
407,Sesheke,ZM,-17.48,24.3,70.68,84,100,2.57,overcast clouds
408,Muros,ES,42.78,-9.06,52.0,94,100,1.01,overcast clouds
409,Hervey Bay,AU,-25.3,152.85,82.0,51,75,6.93,broken clouds
410,Nabire,ID,-3.37,135.48,82.24,71,97,3.18,overcast clouds
411,Lasa,IT,46.62,10.7,28.4,79,5,2.24,clear sky
412,Aktash,RU,50.3,87.73,-0.38,80,59,2.26,light snow
413,Neiafu,TO,-18.65,-173.98,82.4,83,75,10.29,broken clouds
414,Lakes Entrance,AU,-37.88,147.98,70.0,66,38,7.0,scattered clouds
415,Moctezuma,MX,29.8,-109.67,71.06,20,0,6.96,clear sky
416,Abnub,EG,27.27,31.15,57.2,67,0,5.82,clear sky
417,Lourdes,FR,43.1,-0.05,41.0,93,90,3.04,fog
418,Port Macquarie,AU,-31.43,152.92,87.01,54,92,6.93,overcast clouds
419,Mananjary,MG,-21.22,48.33,73.85,90,5,6.89,clear sky
420,Kuytun,RU,54.34,101.5,-0.38,93,4,3.06,clear sky
421,Dabat,ET,12.98,37.77,51.1,84,25,2.73,scattered clouds
422,Sobolevo,RU,54.43,31.9,32.4,96,91,11.41,light rain
423,Claresholm,CA,50.03,-113.59,33.01,88,18,6.93,few clouds
424,Wattegama,LK,6.8,81.48,72.21,93,89,2.75,overcast clouds
425,Groningen,NL,53.25,6.75,39.99,80,90,9.17,overcast clouds
426,Geraldton,AU,-28.77,114.6,53.6,87,18,5.82,few clouds
427,Rafai,CF,4.95,23.92,74.46,50,35,1.43,scattered clouds
428,Joaima,BR,-16.65,-41.03,68.76,88,36,3.27,scattered clouds
429,Canas,CR,10.43,-85.09,86.0,66,20,10.29,few clouds
430,Benghazi,LY,32.12,20.07,63.48,54,0,22.19,clear sky
431,Khatanga,RU,71.97,102.5,13.05,96,100,19.13,light snow
432,Vila Franca Do Campo,PT,37.72,-25.43,53.6,66,20,12.75,few clouds
433,Chicama,PE,-7.84,-79.15,66.2,82,90,10.29,mist
434,Petropavl,KZ,54.88,69.16,5.4,95,100,7.2,overcast clouds
435,Hofn,IS,64.25,-15.21,40.66,79,100,23.87,overcast clouds
436,Atasu,KZ,48.68,71.64,11.75,96,100,11.95,overcast clouds
437,Balkhash,KZ,46.84,74.98,21.7,96,100,23.67,light snow
438,Taganak,PH,6.08,118.3,75.2,100,20,3.36,few clouds
439,Saint-Pierre,RE,-21.34,55.48,71.6,73,20,5.82,few clouds
440,Galesong,ID,-5.32,119.37,77.0,94,20,1.12,few clouds
441,Cayenne,GF,4.93,-52.33,77.0,100,0,1.12,clear sky
442,Torrelavega,ES,43.35,-4.05,57.99,71,1,5.82,clear sky
443,Bridlington,GB,54.08,-0.19,46.99,100,100,2.24,mist
444,Pinheiral,BR,-22.51,-44.0,78.8,74,0,6.93,clear sky
445,Mandalgovi,MN,45.76,106.27,-0.71,90,0,11.36,clear sky
446,Fuyang,CN,32.9,115.82,35.83,89,47,3.47,scattered clouds
447,Praya,CV,14.92,-23.51,75.2,64,75,14.99,broken clouds
448,Altay,CN,47.87,88.12,20.73,83,100,1.86,snow
449,Culaman,PH,5.96,125.66,82.02,73,95,10.89,overcast clouds
450,Miles City,US,46.41,-105.84,51.8,20,1,17.22,clear sky
451,Mandera,KE,3.94,41.87,84.51,48,83,7.18,broken clouds
452,Deputatskiy,RU,69.3,139.9,-8.81,92,100,3.49,overcast clouds
453,Salym,RU,60.06,71.48,2.98,94,0,3.13,clear sky
454,Sidi Ali,DZ,36.1,0.42,55.8,84,0,11.61,clear sky
455,Bambous Virieux,MU,-20.34,57.76,75.2,83,75,8.05,broken clouds
456,Whitecourt,CA,54.15,-115.69,28.4,74,5,6.93,clear sky
457,Sabanalarga,CO,10.63,-74.92,80.6,88,75,9.17,broken clouds
458,Matagami,CA,49.75,-77.63,30.2,92,90,5.82,overcast clouds
459,Honghu,CN,29.82,113.46,42.31,89,98,4.18,overcast clouds
460,Caravelas,BR,-17.71,-39.25,73.47,89,13,5.68,few clouds
461,Benguela,AO,-12.58,13.41,77.86,77,99,2.93,overcast clouds
462,Mitu,CO,1.2,-70.17,74.66,95,95,2.39,light rain
463,Uusikaupunki,FI,60.8,21.41,32.0,97,90,3.36,overcast clouds
464,Palmer,US,42.16,-72.33,46.4,49,75,12.75,broken clouds
465,Fairbanks,US,64.84,-147.72,7.0,77,40,3.06,scattered clouds
466,Saint George,US,37.1,-113.58,54.0,23,1,3.36,clear sky
467,Leh,IN,34.17,77.58,15.3,67,43,2.15,scattered clouds
468,Massakory,TD,13.0,15.73,72.19,22,0,9.75,clear sky
469,Fountain Hills,US,33.61,-111.72,71.01,21,1,5.82,clear sky
470,Blacksburg,US,37.23,-80.41,46.4,61,1,3.8,clear sky
471,Abu Zabad,SD,12.35,29.25,65.77,26,0,12.77,clear sky
472,Bahia Honda,CU,22.9,-83.16,73.96,75,2,7.09,clear sky
473,Quatre Cocos,MU,-20.21,57.76,75.2,83,75,8.05,broken clouds
474,Waterloo,CA,43.47,-80.52,37.4,59,1,10.29,clear sky
475,Ahome,MX,25.92,-109.18,75.2,27,75,21.92,broken clouds
476,Thap Than,TH,15.46,99.89,75.0,70,83,5.12,broken clouds
477,Korop,UA,51.57,32.96,36.9,98,100,3.56,overcast clouds
478,Waipawa,NZ,-41.41,175.52,62.6,82,100,6.93,overcast clouds
479,Khoy,IR,38.55,44.95,34.7,78,84,1.14,broken clouds
480,Iskateley,RU,67.68,53.15,14.86,95,100,14.9,overcast clouds
481,Saint Anthony,US,45.02,-93.22,50.0,45,1,6.93,clear sky
482,Klaksvik,FO,62.23,-6.59,42.8,75,38,10.29,scattered clouds
483,Labuhan,ID,-6.88,112.21,79.11,85,100,5.73,overcast clouds
484,San Quintin,MX,30.48,-115.95,66.58,33,0,12.35,clear sky
485,Ahipara,NZ,-35.17,173.17,63.52,75,100,16.58,overcast clouds
486,Pundaguitan,PH,6.37,126.17,81.75,78,99,8.01,overcast clouds
487,Lunca,RO,43.83,24.77,35.6,68,40,2.24,scattered clouds
488,Recke,DE,52.38,7.72,37.4,88,75,5.82,broken clouds
489,Markova,UA,48.68,24.41,28.33,96,87,1.99,overcast clouds
490,Gurupi,BR,-11.73,-49.07,80.94,59,28,4.92,scattered clouds
491,Mount Isa,AU,-20.73,139.5,89.6,35,0,6.93,clear sky
492,Reyes,BO,-14.32,-67.38,91.4,59,40,2.46,shower rain
493,Marsh Harbour,BS,26.54,-77.06,75.16,62,45,6.33,scattered clouds
494,Shira,RU,54.49,89.95,-0.87,90,0,1.43,clear sky
495,Tiarei,PF,-17.53,-149.33,86.0,70,75,14.99,broken clouds
496,Tubuala,PA,9.52,-79.03,82.4,78,40,3.36,scattered clouds
497,Jaipur,IN,26.92,75.82,57.2,71,0,3.36,haze
498,Okoneshnikovo,RU,54.84,75.08,8.44,95,98,10.13,overcast clouds
499,Angoche,MZ,-16.23,39.91,78.3,86,33,3.71,scattered clouds
500,Touros,BR,-5.2,-35.46,78.8,74,20,11.41,few clouds
501,Yinchuan,CN,38.47,106.27,22.17,86,2,5.66,clear sky
502,Yarmouth,US,41.71,-70.23,50.0,61,90,4.7,overcast clouds
503,Myitkyina,MM,25.38,97.4,54.97,67,0,2.19,clear sky
504,Limon,CR,10.0,-83.03,84.2,70,75,5.82,broken clouds
505,Tsaratanana,MG,-16.78,47.65,77.27,64,40,2.55,scattered clouds
506,Ayan,RU,56.45,138.17,6.19,90,100,15.26,overcast clouds
507,Ijui,BR,-28.39,-53.91,80.73,61,67,9.06,broken clouds
508,Batemans Bay,AU,-35.72,150.18,93.99,34,99,3.0,light rain
509,Wanning,CN,18.8,110.4,69.55,79,98,16.08,overcast clouds
510,Ovsyanka,RU,55.96,92.55,-9.4,83,0,1.79,mist
511,Temnikov,RU,54.63,43.21,35.64,96,100,8.79,overcast clouds
512,Shelburne,CA,44.08,-80.2,37.99,76,85,16.26,overcast clouds
513,Aksha,RU,50.28,113.29,7.77,89,14,6.2,few clouds
514,Nargana,PA,9.44,-78.59,80.91,81,54,6.29,broken clouds
515,Japura,ID,-0.32,102.35,72.9,97,100,0.89,light rain
516,Evanston,US,42.04,-87.69,48.99,57,1,11.41,clear sky
517,Darab,IR,28.75,54.54,57.58,63,74,1.03,broken clouds
518,Pavilosta,LV,56.89,21.19,37.4,93,98,5.82,overcast clouds
519,Latung,PH,5.5,120.88,82.62,72,95,1.99,moderate rain
520,Coahuayana,MX,18.73,-103.68,80.6,78,40,11.41,scattered clouds
521,Mahon,ES,39.89,4.27,57.2,87,0,5.82,clear sky
522,Nizhneudinsk,RU,54.91,99.03,7.16,91,0,0.56,clear sky
523,Merauke,ID,-8.47,140.33,82.27,71,60,7.36,broken clouds
524,Luwuk,ID,-0.95,122.79,80.82,71,89,2.17,light rain
525,Fethiye,TR,36.62,29.12,44.6,81,0,8.05,clear sky
526,San Policarpo,PH,12.18,125.51,81.23,82,44,14.99,scattered clouds
527,Puerto Baquerizo Moreno,EC,-0.9,-89.6,70.52,83,98,8.9,overcast clouds
528,Uvalde,US,29.37,-99.77,55.99,100,90,8.05,overcast clouds
529,Lompoc,US,34.64,-120.46,66.99,31,1,11.41,clear sky
530,Norilsk,RU,69.35,88.2,8.6,84,90,24.61,heavy snow
531,Walvis Bay,NA,-22.96,14.51,59.0,87,15,3.36,few clouds
532,Agadir,MA,30.42,-9.6,55.4,100,0,4.7,clear sky
533,Amahai,ID,-3.33,128.92,84.0,88,63,4.0,broken clouds
534,Mvuma,ZW,-19.28,30.53,64.65,91,24,5.08,few clouds
535,Kerema,PG,-7.96,145.78,79.81,75,78,2.21,broken clouds
536,Paamiut,GL,61.99,-49.67,32.23,94,100,8.79,light snow
537,Ngunguru,NZ,-35.62,174.5,63.25,62,100,10.22,overcast clouds
538,Novyy Urengoy,RU,66.08,76.63,-1.08,92,42,10.27,scattered clouds
539,Imbituba,BR,-28.24,-48.67,77.0,78,20,10.29,few clouds
540,Gobabis,NA,-22.45,18.97,75.2,53,87,3.36,overcast clouds
541,Vrangel,RU,42.73,133.08,23.09,83,75,9.82,broken clouds
542,Viedma,AR,-40.81,-63.0,66.99,41,38,11.16,scattered clouds
543,Bambanglipuro,ID,-7.95,110.28,77.14,88,100,6.17,moderate rain
544,Forestville,US,38.85,-76.88,57.2,35,1,12.75,clear sky
545,Visby,SE,57.64,18.3,39.2,80,98,9.17,moderate rain
546,Cave Spring,US,37.23,-80.01,53.6,40,1,8.05,clear sky
547,Hibbing,US,47.43,-92.94,41.0,56,1,4.7,clear sky
548,Orlik,RU,52.52,99.83,-7.82,74,0,1.79,clear sky
549,Tari,NG,12.41,4.49,80.13,26,0,9.08,clear sky
550,Annau,TM,37.89,58.52,37.4,74,95,6.93,overcast clouds
551,Maldonado,UY,-34.67,-54.92,75.2,73,90,19.46,overcast clouds
552,Lapithos,CY,35.34,33.18,55.4,82,40,9.17,scattered clouds
553,Kasangulu,CD,-4.59,15.17,72.9,91,94,1.83,overcast clouds
554,Fairview,US,40.81,-74.0,51.8,59,1,11.41,clear sky
555,Kachiry,KZ,53.07,76.1,17.47,96,100,13.13,light snow
556,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,10.4,85,20,6.71,shower rain
557,Okhotsk,RU,59.38,143.3,7.32,88,96,13.44,overcast clouds
558,Zabol,AF,32.25,67.25,43.05,53,96,2.33,overcast clouds
559,Kulhudhuffushi,MV,6.62,73.07,81.88,66,81,5.44,broken clouds
560,Takoradi,GH,4.88,-1.76,78.91,84,14,5.41,few clouds
561,Reserva,BR,-24.65,-50.85,65.97,95,51,3.65,broken clouds
562,Pathein,MM,16.78,94.73,69.51,76,10,5.73,clear sky
563,Minab,IR,27.15,57.08,64.4,72,40,4.7,scattered clouds
564,Carutapera,BR,-1.2,-46.02,79.09,82,30,7.31,scattered clouds
565,Constitucion,CL,-35.33,-72.42,59.5,76,2,15.55,clear sky
566,Rawah,IQ,34.48,41.91,59.65,51,100,4.25,overcast clouds
567,Pointe Michel,DM,15.25,-61.38,77.0,94,75,3.36,broken clouds
568,Betsiamites,CA,48.94,-68.65,33.8,100,90,4.7,mist
569,Teguise,ES,29.06,-13.56,62.6,82,40,3.36,scattered clouds
570,Mayumba,GA,-3.43,10.66,76.93,85,89,3.22,light rain
571,Mackenzie,CA,55.3,-123.17,24.8,85,90,6.93,overcast clouds
572,Bundaberg,AU,-24.85,152.35,82.0,51,75,6.93,broken clouds
573,Kozhva,RU,65.11,57.05,11.08,95,90,7.18,overcast clouds
574,Kant,IN,27.8,79.8,58.62,40,0,4.97,clear sky
575,Slyudyanka,RU,51.66,103.71,11.86,85,90,3.89,overcast clouds
576,Mormugao,IN,15.4,73.8,75.2,73,20,6.93,few clouds
577,Peno,RU,56.93,32.74,32.02,97,99,5.84,overcast clouds
578,Santa Cruz De La Palma,ES,28.68,-17.76,64.4,68,0,9.17,clear sky
579,Bowen,AU,-20.02,148.23,82.4,51,40,10.29,scattered clouds
580,Shache,CN,38.42,77.24,21.94,88,21,6.51,few clouds
581,Champerico,GT,14.3,-91.92,87.8,62,75,6.93,broken clouds
582,Maumere,ID,-8.62,122.21,83.07,72,99,3.67,heavy intensity rain
583,La Asuncion,VE,11.03,-63.86,71.6,100,52,12.75,light rain
584,San Joaquin,US,37.93,-121.3,62.6,36,1,5.82,clear sky
585,College,US,64.86,-147.8,7.0,77,40,3.27,scattered clouds
586,Panaba,MX,21.28,-88.27,75.11,87,10,8.7,light rain
587,Sibolga,ID,1.74,98.78,77.0,76,100,3.53,light rain
588,Kaniama,CD,-7.57,24.18,66.47,97,100,2.06,overcast clouds
589,Slonim,BY,53.09,25.32,27.77,98,62,4.47,broken clouds
590,Musiri,IN,10.93,78.45,77.0,88,40,5.82,mist
591,Sulangan,PH,11.14,123.72,82.27,76,77,15.37,broken clouds
592,Whitehorse,CA,60.72,-135.05,28.4,68,75,13.87,shower rain
593,Benjamin Constant,BR,-4.38,-70.03,84.2,74,40,4.7,scattered clouds
594,Krasnyy Chikoy,RU,50.36,108.75,7.48,92,98,3.58,light snow
595,Aripuana,BR,-9.17,-60.63,81.03,67,100,1.77,overcast clouds
596,Longkou,CN,37.65,120.33,37.83,73,97,11.03,overcast clouds
597,Iskitim,RU,54.64,83.3,-4.0,76,58,2.24,broken clouds
598,Porto Torres,IT,40.84,8.4,53.6,87,0,5.82,clear sky
599,San Rafael,AR,-34.62,-68.33,85.26,25,0,6.67,clear sky
600,Sao Felix Do Xingu,BR,-6.64,-51.99,76.75,81,99,2.37,overcast clouds
601,Ust-Kuyga,RU,70.02,135.6,-11.0,89,100,7.56,overcast clouds
602,Santa Maria,BR,-29.68,-53.81,80.6,65,40,9.17,scattered clouds
603,Baglung,NP,28.27,83.59,54.14,39,1,4.65,clear sky
604,Mastic Beach,US,40.77,-72.85,48.99,65,47,3.0,scattered clouds
605,La Ronge,CA,55.1,-105.28,17.6,67,100,14.99,overcast clouds
606,Brigantine,US,39.41,-74.36,52.0,53,1,5.82,clear sky
607,Dicabisagan,PH,17.08,122.42,77.25,83,91,14.61,overcast clouds
608,Bonthe,SL,7.53,-12.51,79.7,81,96,5.08,overcast clouds
609,Male,MV,4.17,73.51,82.4,78,20,4.7,few clouds
610,Dourbali,TD,11.81,15.86,71.76,22,6,8.39,clear sky
611,Lorengau,PG,-2.02,147.27,85.37,74,100,8.43,light rain
612,Kurilsk,RU,45.23,147.88,30.67,93,99,15.79,light snow
613,Puri,IN,19.8,85.85,71.58,59,0,9.24,clear sky
614,Wschowa,PL,51.81,16.32,39.0,88,92,9.73,overcast clouds
615,Soyo,AO,-6.13,12.37,78.13,84,53,5.97,broken clouds
616,Thanesar,IN,29.98,76.82,57.52,36,39,3.33,scattered clouds
617,Kamen-Rybolov,RU,44.75,132.04,10.26,89,4,3.91,clear sky
618,Soe,ID,-9.86,124.28,75.43,66,98,1.03,moderate rain
619,Snezhnogorsk,RU,69.19,33.25,28.4,86,0,6.71,clear sky
620,Nantucket,US,41.28,-70.1,48.2,70,75,6.93,broken clouds
621,Mitsamiouli,KM,-11.38,43.28,80.28,77,0,7.83,clear sky
622,Jacareacanga,BR,-6.22,-57.75,78.98,75,83,2.73,heavy intensity rain
623,Maracaju,BR,-21.61,-55.17,83.1,45,68,4.27,broken clouds
624,Taft,IR,31.75,54.21,41.0,100,90,2.24,fog
625,Hamilton,US,39.18,-84.53,46.4,52,1,4.7,clear sky
626,Umm Kaddadah,SD,13.6,26.69,66.52,25,0,16.87,clear sky
627,Tateyama,JP,34.98,139.87,50.0,52,75,5.82,broken clouds
628,Tucupita,VE,9.06,-62.05,76.03,95,5,4.27,clear sky
629,Conceicao Do Araguaia,BR,-8.26,-49.26,80.04,62,100,2.21,moderate rain
630,Gudari,IN,19.35,83.78,64.9,67,0,2.98,clear sky
631,Puerto Carreno,CO,6.19,-67.49,78.3,89,96,3.27,overcast clouds
632,Dale,US,38.17,-86.99,48.2,45,1,3.36,clear sky
633,Danielskuil,ZA,-28.19,23.54,64.47,53,0,4.18,clear sky
634,Beloha,MG,-25.17,45.05,74.82,84,73,11.99,broken clouds
635,Ejea De Los Caballeros,ES,42.13,-1.14,46.4,87,20,2.24,few clouds
636,Waingapu,ID,-9.66,120.26,82.9,71,29,1.34,scattered clouds
637,Itarsi,IN,22.62,77.75,59.23,63,13,4.38,few clouds
638,Khonsa,IN,27.02,95.57,56.12,72,0,2.98,clear sky
639,Santo Andre,BR,-23.66,-46.54,73.4,73,40,10.29,scattered clouds
640,Arona,ES,28.1,-16.68,64.99,68,20,6.93,few clouds
641,Doha,QA,25.29,51.53,77.0,78,0,5.82,clear sky
642,Teeli,RU,51.03,90.23,-3.48,84,9,0.76,clear sky
643,Sinazongwe,ZM,-17.26,27.46,79.09,64,87,3.36,light rain
644,Santa Cruz Del Sur,CU,20.71,-78.0,77.59,81,30,10.22,scattered clouds
645,Svetlogorsk,BY,52.63,29.73,33.49,97,98,4.38,light rain
646,Nelson Bay,AU,-32.72,152.15,93.0,30,62,10.29,broken clouds
647,Trelew,AR,-43.25,-65.31,53.64,72,92,11.72,overcast clouds
648,Suksun,RU,57.14,57.39,10.02,94,24,3.65,few clouds
649,Taree,AU,-31.9,152.47,93.2,26,98,8.05,overcast clouds
650,Kitakyushu,JP,33.83,130.83,50.0,61,75,5.82,broken clouds
651,Yeniseysk,RU,58.45,92.17,3.79,91,25,0.96,scattered clouds
652,Perth,AU,-31.93,115.83,60.01,58,0,8.05,clear sky
653,Havre,FR,49.58,0.33,44.01,81,0,8.05,clear sky
654,Arlit,NE,18.74,7.39,76.46,24,0,4.07,clear sky
655,San Patricio,US,28.02,-97.52,66.99,93,90,26.4,overcast clouds
656,Ust-Karsk,RU,52.7,118.81,3.25,90,96,2.13,overcast clouds
657,Itarema,BR,-2.92,-39.92,80.53,75,80,17.4,broken clouds
658,Chara,RU,56.91,118.26,-6.99,79,85,0.98,overcast clouds
659,Santa Rosa,PH,14.31,121.11,77.0,94,75,5.82,moderate rain
660,Portobelo,PA,9.55,-79.65,79.0,99,64,6.31,broken clouds
661,Manggar,ID,-2.88,108.27,77.27,86,95,11.74,light rain
662,Goryachegorsk,RU,55.41,88.92,8.44,91,0,5.59,clear sky
663,Fare,PF,-16.7,-151.02,82.22,72,25,5.3,scattered clouds
664,Vokhtoga,RU,58.81,41.05,21.11,97,97,7.09,light snow
665,Silvania,BR,-16.66,-48.61,84.2,53,0,5.82,clear sky
666,Thinadhoo,MV,0.53,72.93,82.27,68,60,7.49,broken clouds
667,Pervoye Maya,RU,56.16,44.72,30.99,92,90,8.95,light snow
668,Puerto Escondido,MX,15.85,-97.07,84.2,70,5,5.82,clear sky
669,Vostok,RU,46.49,135.88,1.92,93,100,4.7,overcast clouds
670,Puerto Leguizamo,CO,-0.19,-74.78,75.24,94,100,1.28,overcast clouds
671,Llangefni,GB,53.26,-4.31,41.0,93,33,2.24,mist
672,Temuco,CL,-38.73,-72.6,55.53,97,100,4.65,light rain
673,Manacapuru,BR,-3.3,-60.62,82.4,78,0,1.81,clear sky
674,Pingliang,CN,35.54,106.69,27.16,84,97,1.12,overcast clouds
675,Bull Savanna,JM,17.89,-77.59,75.36,82,28,7.34,scattered clouds
676,Zyryanovsk,KZ,49.74,84.27,18.27,96,100,1.01,overcast clouds
677,Makushino,RU,55.21,67.24,3.83,94,89,5.93,overcast clouds
678,Vaitape,PF,-16.52,-151.75,82.36,71,21,4.88,few clouds
679,Cibitoke,BI,-2.88,29.25,63.41,97,100,1.01,light rain
680,Gladstone,AU,-23.85,151.25,80.6,51,40,9.17,light rain
681,Astana,KZ,51.18,71.45,12.2,85,90,6.71,snow
682,Madimba,TZ,-10.4,40.33,77.58,85,0,3.11,clear sky
683,Easthampton,US,42.27,-72.67,46.4,52,75,11.41,broken clouds
684,Bria,CF,6.54,21.99,71.8,42,0,4.23,clear sky
685,Padang,ID,-0.95,100.35,76.08,80,100,2.53,overcast clouds
686,Patiya,BD,22.29,91.98,62.74,92,0,3.53,clear sky
687,Bubaque,GW,11.28,-15.83,81.79,65,53,13.18,broken clouds
688,Inirida,CO,3.87,-67.92,74.25,95,100,1.88,overcast clouds
689,Atagay,RU,55.1,99.39,4.91,93,4,0.29,clear sky
690,Mareeba,AU,-17.0,145.43,78.01,88,75,5.82,broken clouds
691,Basco,PH,20.45,121.97,76.96,78,70,29.15,broken clouds
692,Nizhniy Baskunchak,RU,48.22,46.83,40.3,77,100,14.58,overcast clouds
693,Ixtapa,MX,20.7,-105.2,80.6,74,40,13.87,scattered clouds
694,Santa Ines,BR,-3.67,-45.38,77.72,86,100,3.29,overcast clouds
695,De Aar,ZA,-30.65,24.01,59.95,62,0,20.07,clear sky
696,Erdaojiang,CN,41.78,126.03,16.41,83,68,2.24,broken clouds
697,Estelle,US,29.85,-90.11,66.2,100,90,3.36,overcast clouds
698,Vanimo,PG,-2.67,141.3,81.3,80,99,5.64,moderate rain
699,Stutterheim,ZA,-32.57,27.42,54.07,96,79,4.92,broken clouds
700,Nakhon Nayok,TH,14.17,101.1,75.99,83,0,5.32,clear sky
701,Rivne,UA,50.62,26.23,32.0,98,95,5.55,overcast clouds
702,Mumbwa,ZM,-14.98,27.06,67.46,84,83,1.66,broken clouds
703,Clyde River,CA,70.47,-68.59,-5.8,83,75,20.8,light snow
704,San Juan,AR,-31.54,-68.54,89.22,23,1,7.61,clear sky
705,Victoria Point,AU,-27.58,153.3,82.0,53,0,7.0,clear sky
